IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
198.71.233.74,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,206,10.29
198.71.233.33,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,317,10.29
198.71.233.11,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,197,10.29
198.71.233.70,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,318,10.29
198.71.233.57,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,305,10.27
198.71.233.49,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,430,10.25
198.71.233.30,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,443,10.24
198.71.233.40,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,198,10.23
198.71.233.76,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,216,10.22
102.177.176.59,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,231,10.22
102.177.176.105,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,317,10.21
86.38.214.234,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,250,10.2
102.177.176.142,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,208,10.2
102.177.176.97,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,460,10.19
102.177.176.69,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,390,10.18
102.177.176.110,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,244,10.18
102.177.176.111,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,259,10.17
102.177.176.145,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,324,10.15
102.177.176.233,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,244,10.13
102.177.176.135,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,285,10.1
102.177.176.163,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,325,10.1
102.177.176.124,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,252,10.09
45.194.53.197,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,272,10.09
45.194.53.129,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,330,10.08
45.194.53.1,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,208,10.07
45.194.53.84,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,286,10.07
