IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.101.206.253,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,206,10.29
130.61.203.115,2053,443,TRUE,Frankfurt,Europe,DE,Frankfurt,317,10.29
144.21.60.57,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,197,10.29
130.61.97.41,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,318,10.29
143.47.226.139,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,305,10.27
84.8.155.158,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,430,10.25
193.123.59.193,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,443,10.24
141.147.75.254,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,198,10.23
141.144.207.130,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,216,10.22
144.21.33.65,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,231,10.22
84.235.169.101,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,317,10.21
158.178.147.194,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,250,10.2
158.101.223.154,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,208,10.2
193.123.60.6,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,460,10.19
141.148.246.151,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,390,10.18
89.168.100.61,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,244,10.18
84.235.167.37,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,259,10.17
141.147.79.245,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,324,10.15
140.245.95.232,443,443,TRUE,Los Angeles,North America,US,Los Angeles,244,10.13
141.147.51.157,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,285,10.1
193.123.188.86,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,325,10.1
144.21.36.229,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,252,10.09
141.148.242.191,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,272,10.09
152.70.47.79,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,330,10.08
141.147.5.34,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,208,10.07
141.147.64.177,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,286,10.07
141.147.102.226,443,443,TRUE,Paris,Europe,FR,Paris,217,10.04
193.123.186.6,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,277,10.03
158.101.202.123,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,227,10.03
79.72.72.244,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,331,10
129.151.225.228,2053,443,TRUE,Marseille,Europe,FR,Marseille,213,10
152.70.55.170,443,443,TRUE,Düsseldorf,Europe,DE,Düsseldorf,247,9.97
