IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
198.71.233.74,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,252,6.95
198.71.233.33,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,303,6.91
198.71.233.11,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,241,6.88
198.71.233.70,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,234,6.88
198.71.233.57,8443,443,TRUE,SG:Singapore,Asia Pacific,US,Ashburn-cf,385,6.87
198.71.233.49,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,285,6.85
198.71.233.30,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,264,6.84
198.71.233.40,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,297,6.83
198.71.233.76,8443,443,TRUE,SG:Singapore,Asia Pacific,US,Ashburn-cf,100,6.83
102.177.176.59,8443,443,TRUE,US:San Jose,North America,US,Ashburn-cf,239,6.83
102.177.176.105,8443,443,TRUE,US:Los Angeles,North America,US,Ashburn-cf,316,6.8
86.38.214.234,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,344,6.8
102.177.176.142,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,314,6.77
102.177.176.97,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,338,6.76
102.177.176.69,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,272,6.76
102.177.176.110,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,256,6.75
102.177.176.111,8443,443,TRUE,SG:Singapore,Asia Pacific,US,Ashburn-cf,219,6.75
102.177.176.145,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,280,6.74
102.177.176.233,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,453,6.72
102.177.176.135,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,272,6.71
102.177.176.163,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,352,6.71
102.177.176.124,8443,443,TRUE,US:Dallas,North America,US,Ashburn-cf,365,6.71
45.194.53.197,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,316,6.7
45.194.53.129,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,278,6.68
45.194.53.1,8443,443,TRUE,SG:Singapore,Asia Pacific,US,Ashburn-cf,138,6.68
45.194.53.84,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,275,6.68
45.194.53.33,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,276,6.64
45.194.53.143,8443,443,TRUE,US:Ashburn,North America,US,Ashburn-cf,433,6.63
45.194.53.199,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,465,6.59
45.194.53.43,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,238,6.57
45.194.53.58,8443,443,TRUE,FR:Paris,Europe,US,Ashburn-cf,281,6.56
45.194.53.215,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,266,6.54
45.194.53.176,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,253,6.52
45.194.53.126,8443,443,TRUE,KR:Seoul,Asia Pacific,US,Ashburn-cf,279,6.52
45.194.53.32,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,326,6.51
86.38.214.168,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,321,6.51
86.38.214.133,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,250,6.5
86.38.214.253,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,362,6.48
86.38.214.199,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,309,6.46
86.38.214.194,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,326,6.46
86.38.214.240,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,207,6.46
86.38.214.163,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,310,6.44
86.38.214.196,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,264,6.44
86.38.214.226,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,378,6.43
86.38.214.238,8443,443,TRUE,SG:Singapore,Asia Pacific,US,Ashburn-cf,134,6.43
86.38.214.126,8443,443,TRUE,NL:Amsterdam,Europe,US,Ashburn-cf,257,6.42
86.38.214.229,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,311,6.41
86.38.214.206,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,365,6.39
86.38.214.248,8443,443,TRUE,DE:Frankfurt,Europe,US,Ashburn-cf,204,6.36
