IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
152.70.187.29,443,443,TRUE,FRA,Europe,DE,Frankfurt,252,6.95
84.8.155.173,443,443,TRUE,FRA,Europe,DE,Frankfurt,303,6.91
141.144.197.253,443,443,TRUE,FRA,Europe,DE,Frankfurt,241,6.88
84.235.168.51,443,443,TRUE,FRA,Europe,DE,Frankfurt,234,6.88
193.123.232.212,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,385,6.87
89.168.79.252,443,443,TRUE,FRA,Europe,DE,Frankfurt,285,6.85
84.8.158.231,443,443,TRUE,FRA,Europe,DE,Frankfurt,264,6.84
141.144.193.211,443,443,TRUE,FRA,Europe,DE,Frankfurt,297,6.83
130.162.140.147,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,100,6.83
152.70.117.174,8443,443,TRUE,SJC,North America,US,San Jose,239,6.83
146.56.44.77,443,443,TRUE,LAX,North America,US,Los Angeles,316,6.8
79.72.84.194,443,443,TRUE,FRA,Europe,DE,Frankfurt,344,6.8
132.226.209.99,443,443,TRUE,FRA,Europe,DE,Frankfurt,314,6.77
138.2.177.169,443,443,TRUE,FRA,Europe,DE,Frankfurt,338,6.76
141.147.86.61,443,443,TRUE,FRA,Europe,DE,Frankfurt,272,6.76
138.2.132.154,443,443,TRUE,FRA,Europe,DE,Frankfurt,256,6.75
158.180.65.62,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,219,6.75
141.148.247.52,443,443,TRUE,FRA,Europe,DE,Frankfurt,280,6.74
130.162.163.15,443,443,TRUE,FRA,Europe,DE,Frankfurt,453,6.72
141.147.48.119,443,443,TRUE,FRA,Europe,DE,Frankfurt,272,6.71
138.2.160.75,443,443,TRUE,FRA,Europe,DE,Frankfurt,352,6.71
140.84.179.114,443,443,TRUE,DFW,North America,US,Dallas,365,6.71
84.235.164.38,443,443,TRUE,FRA,Europe,DE,Frankfurt,316,6.7
141.147.27.168,443,443,TRUE,FRA,Europe,DE,Frankfurt,278,6.68
158.180.82.124,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,138,6.68
84.8.148.2,443,443,TRUE,FRA,Europe,DE,Frankfurt,275,6.68
158.178.156.29,443,443,TRUE,FRA,Europe,DE,Frankfurt,276,6.64
129.80.46.112,443,443,TRUE,IAD,North America,US,Ashburn,433,6.63
138.2.170.129,443,443,TRUE,FRA,Europe,DE,Frankfurt,465,6.59
84.235.172.166,443,443,TRUE,FRA,Europe,DE,Frankfurt,238,6.57
158.178.192.221,443,443,TRUE,CDG,Europe,FR,Paris,281,6.56
158.101.215.162,443,443,TRUE,FRA,Europe,DE,Frankfurt,266,6.54
158.180.12.46,443,443,TRUE,FRA,Europe,DE,Frankfurt,253,6.52
193.122.96.190,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,279,6.52
89.168.89.240,443,443,TRUE,FRA,Europe,DE,Frankfurt,326,6.51
89.168.72.145,443,443,TRUE,FRA,Europe,DE,Frankfurt,321,6.51
79.72.87.192,443,443,TRUE,FRA,Europe,DE,Frankfurt,250,6.5
193.123.60.124,443,443,TRUE,FRA,Europe,DE,Frankfurt,362,6.48
141.147.65.198,443,443,TRUE,FRA,Europe,DE,Frankfurt,309,6.46
79.76.120.190,443,443,TRUE,FRA,Europe,DE,Frankfurt,326,6.46
79.72.71.184,443,443,TRUE,FRA,Europe,DE,Frankfurt,207,6.46
150.230.23.223,443,443,TRUE,FRA,Europe,DE,Frankfurt,310,6.44
152.70.60.73,443,443,TRUE,FRA,Europe,DE,Frankfurt,264,6.44
141.147.73.6,443,443,TRUE,FRA,Europe,DE,Frankfurt,378,6.43
158.180.95.205,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,134,6.43
158.101.209.76,443,443,TRUE,AMS,Europe,NL,Amsterdam,257,6.42
144.21.37.125,443,443,TRUE,FRA,Europe,DE,Frankfurt,311,6.41
130.162.63.37,443,443,TRUE,FRA,Europe,DE,Frankfurt,365,6.39
150.230.21.84,443,443,TRUE,FRA,Europe,DE,Frankfurt,204,6.36
143.47.186.215,443,443,TRUE,FRA,Europe,DE,Frankfurt,302,6.32
141.147.94.46,443,443,TRUE,FRA,Europe,DE,Frankfurt,311,6.32
141.148.230.48,443,443,TRUE,FRA,Europe,DE,Frankfurt,323,6.28
130.162.187.134,443,443,TRUE,FRA,Europe,DE,Frankfurt,389,6.28
130.162.239.176,443,443,TRUE,FRA,Europe,DE,Frankfurt,415,6.26
193.122.123.149,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,289,6.26
144.24.243.207,443,443,TRUE,MXP,Europe,IT,Milan,288,6.25
158.179.167.9,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,222,6.23
141.148.236.245,443,443,TRUE,FRA,Europe,DE,Frankfurt,251,6.23
193.123.58.139,443,443,TRUE,FRA,Europe,DE,Frankfurt,431,6.2
141.144.239.159,443,443,TRUE,FRA,Europe,DE,Frankfurt,225,6.17
132.226.213.141,443,443,TRUE,FRA,Europe,DE,Frankfurt,219,6.17
144.21.55.239,443,443,TRUE,FRA,Europe,DE,Frankfurt,229,6.14
84.235.166.255,443,443,TRUE,FRA,Europe,DE,Frankfurt,243,6.14
158.101.188.154,443,443,TRUE,FRA,Europe,DE,Frankfurt,292,6.13
143.47.191.59,443,443,TRUE,FRA,Europe,DE,Frankfurt,268,6.13
89.168.109.241,443,443,TRUE,FRA,Europe,DE,Frankfurt,317,6.12
79.72.84.110,443,443,TRUE,FRA,Europe,DE,Frankfurt,246,6.12
143.47.231.182,443,443,TRUE,FRA,Europe,DE,Frankfurt,298,6.11
158.178.238.239,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,229,6.11
141.147.46.241,443,443,TRUE,FRA,Europe,DE,Frankfurt,195,6.05
144.21.49.125,443,443,TRUE,FRA,Europe,DE,Frankfurt,288,6.05
141.147.28.209,443,443,TRUE,FRA,Europe,DE,Frankfurt,375,6.05
144.21.55.161,443,443,TRUE,FRA,Europe,DE,Frankfurt,215,6.04
144.21.37.151,443,443,TRUE,FRA,Europe,DE,Frankfurt,262,6.03
144.21.63.152,443,443,TRUE,FRA,Europe,DE,Frankfurt,276,6.02
158.101.217.14,443,443,TRUE,FRA,Europe,DE,Frankfurt,267,6.02
130.162.185.94,443,443,TRUE,FRA,Europe,DE,Frankfurt,338,6.01
141.147.93.166,443,443,TRUE,FRA,Europe,DE,Frankfurt,240,5.99
141.144.228.168,443,443,TRUE,FRA,Europe,DE,Frankfurt,268,5.97
130.162.215.229,443,443,TRUE,FRA,Europe,DE,Frankfurt,301,5.97
129.80.207.132,443,443,TRUE,IAD,North America,US,Ashburn,363,5.96
79.72.95.230,443,443,TRUE,FRA,Europe,DE,Frankfurt,252,5.95
141.144.206.222,443,443,TRUE,FRA,Europe,DE,Frankfurt,274,5.94
79.76.113.232,443,443,TRUE,FRA,Europe,DE,Frankfurt,186,5.94
84.235.163.184,443,443,TRUE,FRA,Europe,DE,Frankfurt,253,5.92
141.148.245.30,443,443,TRUE,FRA,Europe,DE,Frankfurt,354,5.91
141.145.216.142,2087,443,TRUE,CDG,Europe,FR,Paris,282,5.88
129.153.183.67,443,443,TRUE,IAD,North America,US,Ashburn,269,5.88
141.147.30.184,443,443,TRUE,FRA,Europe,DE,Frankfurt,310,5.87
84.235.161.215,443,443,TRUE,FRA,Europe,DE,Frankfurt,253,5.87
150.230.123.254,443,443,TRUE,FRA,Europe,DE,Frankfurt,302,5.87
